iter	Passed	Remaining
262	1280	3587
263	1284	3580
264	1289	3575
265	1293	3569
266	1297	3562
267	1301	3555
268	1306	3549
269	1310	3543
270	1315	3537
271	1319	3531
272	1323	3523
273	1327	3517
274	1331	3510
275	1335	3503
276	1340	3497
277	1344	3491
278	1349	3486
279	1353	3479
280	1357	3474
281	1362	3469
282	1367	3464
283	1372	3460
284	1377	3456
285	1382	3452
286	1387	3447
287	1392	3442
288	1397	3437
289	1402	3432
290	1407	3428
291	1411	3422
292	1416	3416
293	1420	3410
294	1424	3403
295	1428	3398
296	1433	3392
297	1437	3385
298	1441	3379
299	1445	3372
300	1449	3366
301	1454	3360
302	1458	3354
303	1462	3349
304	1467	3342
305	1471	3337
306	1476	3333
307	1481	3327
308	1485	3322
309	1490	3316
310	1494	3310
311	1498	3304
312	1502	3298
313	1507	3293
314	1511	3287
315	1516	3281
316	1520	3275
317	1524	3269
318	1529	3264
319	1532	3257
320	1537	3251
321	1541	3246
322	1545	3239
323	1549	3233
324	1553	3227
325	1558	3221
326	1562	3215
327	1566	3209
328	1570	3203
329	1575	3198
330	1579	3193
331	1584	3187
332	1588	3180
333	1592	3174
334	1596	3168
335	1600	3162
336	1604	3156
337	1608	3150
338	1612	3144
339	1617	3139
340	1621	3132
341	1625	3127
342	1629	3121
343	1633	3115
344	1638	3109
345	1642	3103
346	1646	3097
347	1650	3092
348	1654	3085
349	1658	3080
350	1662	3074
351	1667	3068
352	1671	3062
353	1674	3056
354	1679	3050
355	1682	3044
356	1686	3038
357	1690	3032
358	1694	3026
359	1698	3019
360	1703	3014
361	1707	3009
362	1711	3003
363	1715	2997
364	1719	2991
365	1723	2985
366	1727	2979
367	1731	2973
368	1736	2969
369	1740	2963
370	1744	2957
371	1748	2951
372	1752	2945
373	1756	2939
374	1760	2933
375	1764	2928
376	1768	2923
377	1773	2917
378	1777	2911
379	1781	2906
380	1785	2900
381	1789	2895
382	1794	2890
383	1798	2885
384	1803	2880
385	1807	2874
386	1811	2869
387	1816	2864
388	1821	2860
389	1824	2854
390	1829	2849
391	1833	2844
392	1837	2838
393	1841	2832
394	1845	2826
395	1849	2820
396	1853	2814
397	1857	2809
398	1861	2803
399	1865	2798
400	1869	2792
401	1873	2787
402	1877	2782
403	1882	2776
404	1886	2770
405	1890	2765
406	1894	2759
407	1898	2754
408	1902	2748
409	1906	2742
410	1910	2737
411	1914	2732
412	1918	2726
413	1923	2721
414	1927	2717
415	1931	2711
416	1936	2707
417	1940	2701
418	1944	2696
419	1949	2692
420	1954	2687
421	1958	2682
422	1963	2677
