iter	RMSE
747	472.5489086
748	472.5390121
749	472.4779732
750	472.4222583
751	472.3466785
752	472.3412013
753	472.3240603
754	472.25753
755	472.2090611
756	472.1154845
757	472.0695158
758	471.921653
759	471.8882915
760	471.8538252
761	471.7153579
762	471.5755854
763	471.5549476
764	471.4785694
765	471.3579077
766	471.3572683
767	471.2840066
768	471.1970964
769	471.0722063
770	470.9494307
771	470.8120273
772	470.7238444
773	470.709894
774	470.561478
775	470.5139934
776	470.389129
777	470.3581318
778	470.3450929
779	470.2392784
780	470.2117746
781	470.1301337
782	470.1294968
783	469.8970858
784	469.8002528
785	469.799628
786	469.670948
787	469.5938363
788	469.4783192
789	469.4232148
790	469.2897289
791	469.1690563
792	469.0586894
793	468.9595963
794	468.9307008
795	468.8476063
796	468.7198669
797	468.6002999
798	468.5996968
799	468.4689651
800	468.3446538
801	468.1381909
802	468.091512
803	467.9574052
804	467.8475368
805	467.7482978
806	467.6941298
807	467.6114132
808	467.516412
809	467.4294343
810	467.2916793
811	467.2091848
812	467.1332545
813	466.9956823
814	466.9422608
815	466.9003747
816	466.7197427
817	466.6670679
818	466.5247468
819	466.5030023
820	466.4725107
821	466.2964928
822	466.2626372
823	466.1699811
824	466.059505
825	466.0418401
826	465.9979629
827	465.9263358
828	465.8322148
829	465.722213
830	465.5823789
831	465.4654267
832	465.3359106
833	465.2755705
834	465.1164856
835	464.976099
836	464.9303152
837	464.7846061
838	464.6547158
839	464.6236285
840	464.6050831
841	464.5461203
842	464.4061442
843	464.4055686
844	464.3716207
845	464.2493437
846	464.2252099
847	464.224667
848	464.1076983
849	463.9814457
850	463.9041824
851	463.8100018
852	463.6693686
853	463.5141902
854	463.4539181
855	463.428037
856	463.3564431
857	463.2619677
858	463.2458719
859	463.1883387
860	463.0602168
861	462.9758096
862	462.8506359
863	462.8501258
864	462.7877878
865	462.6413641
866	462.5421157
867	462.3737693
868	462.2613624
869	462.0768775
870	461.9951102
871	461.8924561
872	461.7870133
873	461.6016629
874	461.5341135
875	461.4371466
876	461.3731738
877	461.3010446
878	461.2555946
879	461.215699
880	461.1367092
881	461.0928145
882	460.9744567
883	460.9264361
884	460.8424027
885	460.7683287
886	460.7225075
887	460.6527363
888	460.5675624
889	460.5670828
890	460.4249849
891	460.3302739
892	460.2033431
893	460.0756997
894	459.9424735
895	459.8903122
896	459.7512042
897	459.6562654
898	459.6113245
899	459.5554379
900	459.513142
901	459.378567
902	459.3654998
903	459.2647875
904	459.2122824
905	459.1534985
906	459.1272512
907	459.0604657
908	458.994725
909	458.9294714
910	458.8836416
911	458.8096335
912	458.7160474
913	458.6560902
914	458.5968143
915	458.4459515
916	458.3906445
917	458.3430786
918	458.267703
919	458.2166753
920	458.1830977
921	458.144797
922	458.0962866
923	458.0631162
924	457.9754923
925	457.9575942
926	457.9096169
927	457.8402324
928	457.6916976
929	457.6053025
930	457.5868519
931	457.5623969
932	457.4683711
933	457.4134886
934	457.3740208
935	457.2801339
936	457.2079393
937	457.110103
938	457.092577
939	456.9604693
940	456.9450399
941	456.9189528
942	456.8751764
943	456.8652443
944	456.8423223
945	456.755108
946	456.6780573
947	456.6363574
948	456.5473
949	456.4556022
950	456.3661602
951	456.2777591
952	456.256529
953	456.0967965
954	455.9165799
955	455.8499515
956	455.8306339
957	455.7768813
958	455.731327
959	455.6183683
960	455.543007
961	455.4316026
962	455.3857674
963	455.2410185
964	455.1835211
965	455.174639
966	455.1278112
967	455.017298
968	454.9264334
969	454.9022073
970	454.7998076
971	454.7581724
972	454.6610223
973	454.5701289
974	454.506485
975	454.4271349
976	454.3687585
977	454.2923738
978	454.2837438
979	454.2426331
980	454.2162736
981	454.15901
982	454.1370454
983	454.0520653
984	454.0212434
985	453.9041039
986	453.8429741
987	453.7665014
988	453.692733
989	453.645766
990	453.5327535
991	453.4215623
992	453.1789913
993	453.1363527
994	453.0445471
995	452.9649555
996	452.895272
997	452.8107799
998	452.7070918
999	452.5882141
